Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USD
2020-06-15 12-AM,XRPUSD,0.1902,0.1902,0.1896,0.1901,79809.79,15153.75
2020-06-14 11-PM,XRPUSD,0.1908,0.1908,0.1902,0.1902,305688.47,58262.82
2020-06-14 10-PM,XRPUSD,0.1899,0.191,0.1888,0.1908,306199.85,58044.34
2020-06-14 09-PM,XRPUSD,0.1916,0.1916,0.1898,0.1899,401202.87,76662.78
2020-06-14 08-PM,XRPUSD,0.1914,0.192,0.1914,0.1916,204246.58,39191.3
2020-06-14 07-PM,XRPUSD,0.1911,0.1914,0.1911,0.1914,145932.15,27904.72
2020-06-14 06-PM,XRPUSD,0.1909,0.1913,0.1909,0.1911,223800.97,42785.49
2020-06-14 05-PM,XRPUSD,0.1906,0.191,0.1906,0.1909,54120.6,10332.56
2020-06-14 04-PM,XRPUSD,0.1908,0.191,0.1903,0.1906,79385.19,15142.37
2020-06-14 03-PM,XRPUSD,0.1898,0.1908,0.1898,0.1908,159887.98,30454.12
2020-06-14 02-PM,XRPUSD,0.1912,0.1912,0.1894,0.1898,351539.63,66889.93
2020-06-14 01-PM,XRPUSD,0.191,0.1912,0.1905,0.1912,74737.14,14258.37
2020-06-14 12-PM,XRPUSD,0.1915,0.1918,0.191,0.191,189263.03,36196.25
2020-06-14 11-AM,XRPUSD,0.1915,0.1918,0.1915,0.1915,154290.38,29553.39
2020-06-14 10-AM,XRPUSD,0.1912,0.1915,0.1911,0.1915,143474.65,27422.89
2020-06-14 09-AM,XRPUSD,0.1912,0.1912,0.1912,0.1912,28128.35,5377.24
2020-06-14 08-AM,XRPUSD,0.1908,0.1914,0.1908,0.1912,172052.53,32865.99
2020-06-14 07-AM,XRPUSD,0.1908,0.1911,0.1903,0.1908,114791.82,21892.45
2020-06-14 06-AM,XRPUSD,0.1913,0.1915,0.1908,0.1908,547379.3,104587.57
2020-06-14 05-AM,XRPUSD,0.1916,0.1916,0.1912,0.1913,44927.18,8600.81
2020-06-14 04-AM,XRPUSD,0.1915,0.1916,0.1915,0.1916,2856.99,547.3
2020-06-14 03-AM,XRPUSD,0.1919,0.1919,0.1915,0.1915,149442.55,28624.01
2020-06-14 02-AM,XRPUSD,0.1918,0.1919,0.1917,0.1919,78281.41,15010.71
2020-06-14 01-AM,XRPUSD,0.1924,0.1924,0.1916,0.1918,102573.95,19673.64
2020-06-14 12-AM,XRPUSD,0.1927,0.1927,0.192,0.1924,108499.97,20840.55
2020-06-13 11-PM,XRPUSD,0.1923,0.1927,0.1922,0.1927,58768.89,11308.62
2020-06-13 10-PM,XRPUSD,0.1923,0.1925,0.1921,0.1923,45993.44,8841.71
2020-06-13 09-PM,XRPUSD,0.1923,0.1924,0.192,0.1923,35890.19,6899.92
2020-06-13 08-PM,XRPUSD,0.1921,0.1927,0.1918,0.1923,194478.92,37366.47
2020-06-13 07-PM,XRPUSD,0.1933,0.1937,0.192,0.1921,200877.36,38827.89
2020-06-13 06-PM,XRPUSD,0.1931,0.1934,0.1931,0.1933,95649.26,18490.63
2020-06-13 05-PM,XRPUSD,0.1934,0.1934,0.1925,0.1931,201776.01,38946.99
2020-06-13 04-PM,XRPUSD,0.1928,0.1936,0.1927,0.1934,93488.04,18058.21
2020-06-13 03-PM,XRPUSD,0.1932,0.1934,0.1926,0.1928,265875.27,51301.23
2020-06-13 02-PM,XRPUSD,0.1924,0.1938,0.1924,0.1932,330425.7,63859.84
2020-06-13 01-PM,XRPUSD,0.1919,0.1924,0.1913,0.1924,204576.57,39263.03
2020-06-13 12-PM,XRPUSD,0.1912,0.1919,0.1912,0.1919,223946.8,42897.36
2020-06-13 11-AM,XRPUSD,0.1916,0.1917,0.191,0.1912,666524.63,127515.02
2020-06-13 10-AM,XRPUSD,0.1921,0.1922,0.1914,0.1916,180091.67,34555.36
2020-06-13 09-AM,XRPUSD,0.1921,0.1923,0.1917,0.1921,276793.86,53124.35
2020-06-13 08-AM,XRPUSD,0.1926,0.1926,0.1919,0.1921,41505.11,7970.28
2020-06-13 07-AM,XRPUSD,0.1921,0.1926,0.1919,0.1926,8969.95,1724.81
2020-06-13 06-AM,XRPUSD,0.1916,0.1921,0.1915,0.1921,55588.23,10660.49
2020-06-13 05-AM,XRPUSD,0.1918,0.1918,0.1912,0.1916,45987.73,8793.82
2020-06-13 04-AM,XRPUSD,0.1924,0.1924,0.1913,0.1918,215681.95,41337.48
2020-06-13 03-AM,XRPUSD,0.1924,0.1925,0.192,0.1924,89925.91,17269.09
2020-06-13 02-AM,XRPUSD,0.1925,0.1925,0.1919,0.1924,169505.53,32548.55
2020-06-13 01-AM,XRPUSD,0.1919,0.1925,0.1919,0.1925,129759.92,24922.84
2020-06-13 12-AM,XRPUSD,0.1929,0.1932,0.1916,0.1919,398232.94,76450.24
2020-06-12 11-PM,XRPUSD,0.1927,0.1929,0.1923,0.1929,327267.67,63026.12
2020-06-12 10-PM,XRPUSD,0.1926,0.193,0.1924,0.1927,204620.27,39383.78
2020-06-12 09-PM,XRPUSD,0.1931,0.1932,0.1925,0.1926,187109.4,36062.22
2020-06-12 08-PM,XRPUSD,0.1933,0.1938,0.1927,0.1931,133948.72,25848.91
2020-06-12 07-PM,XRPUSD,0.1935,0.1943,0.1931,0.1933,406832.29,78834.21
2020-06-12 06-PM,XRPUSD,0.192,0.1935,0.1919,0.1935,413437.08,79777.21
2020-06-12 05-PM,XRPUSD,0.1926,0.1928,0.1908,0.192,698628.2,133754.02
2020-06-12 04-PM,XRPUSD,0.1926,0.1934,0.1923,0.1926,465711.27,89978.11
2020-06-12 03-PM,XRPUSD,0.1931,0.1931,0.192,0.1926,94523.7,18211.51
2020-06-12 02-PM,XRPUSD,0.1947,0.1949,0.1931,0.1931,295452.01,57325.79
2020-06-12 01-PM,XRPUSD,0.1942,0.1947,0.1939,0.1947,403230.16,78272.76
2020-06-12 12-PM,XRPUSD,0.1943,0.1949,0.1932,0.1942,377169.22,73246.93
2020-06-12 11-AM,XRPUSD,0.1928,0.1943,0.1928,0.1943,427567.69,82904.94
2020-06-12 10-AM,XRPUSD,0.1924,0.193,0.1924,0.1928,332374.33,64124.85
2020-06-12 09-AM,XRPUSD,0.1929,0.1929,0.1922,0.1924,142398.17,27446.11
2020-06-12 08-AM,XRPUSD,0.1933,0.1938,0.1924,0.1929,743210.31,143776.64
2020-06-12 07-AM,XRPUSD,0.1917,0.1936,0.1917,0.1933,436110.86,84120.36
2020-06-12 06-AM,XRPUSD,0.1915,0.1924,0.1915,0.1917,1068644.48,205367.16
2020-06-12 05-AM,XRPUSD,0.1908,0.1915,0.1907,0.1915,58016.24,11071.22
2020-06-12 04-AM,XRPUSD,0.1907,0.1911,0.1906,0.1908,83187.72,15877.68
2020-06-12 03-AM,XRPUSD,0.1904,0.1916,0.1904,0.1907,694393.72,132701.59
2020-06-12 02-AM,XRPUSD,0.1903,0.1904,0.1898,0.1904,28277.79,5375.09
2020-06-12 01-AM,XRPUSD,0.1891,0.1904,0.189,0.1903,760022.33,144240.49
2020-06-12 12-AM,XRPUSD,0.1888,0.1895,0.1866,0.1891,682938.94,128723.47
2020-06-11 11-PM,XRPUSD,0.1887,0.189,0.1876,0.1888,541993.16,102156.27
2020-06-11 10-PM,XRPUSD,0.1906,0.1907,0.1884,0.1887,709419.8,134519.52
2020-06-11 09-PM,XRPUSD,0.1905,0.1908,0.19,0.1906,794864.27,151395.85
2020-06-11 08-PM,XRPUSD,0.1897,0.1905,0.1878,0.1905,524801.67,99263.93
2020-06-11 07-PM,XRPUSD,0.1902,0.1906,0.1892,0.1897,270260.87,51256.53
2020-06-11 06-PM,XRPUSD,0.192,0.1922,0.1899,0.1902,801354.71,152899.46
2020-06-11 05-PM,XRPUSD,0.1852,0.1923,0.183,0.192,3325539.86,624549.47
2020-06-11 04-PM,XRPUSD,0.1945,0.1951,0.185,0.1852,4431641.53,845721.92
2020-06-11 03-PM,XRPUSD,0.1962,0.1962,0.1931,0.1945,1283043.05,249248.89
2020-06-11 02-PM,XRPUSD,0.197,0.1973,0.196,0.1962,413211.61,81381.55
2020-06-11 01-PM,XRPUSD,0.1998,0.2001,0.196,0.197,1561355.73,308264.11
2020-06-11 12-PM,XRPUSD,0.201,0.2011,0.1998,0.1998,1253091.97,251137.21
2020-06-11 11-AM,XRPUSD,0.2006,0.2011,0.2005,0.201,93386.96,18743.35
2020-06-11 10-AM,XRPUSD,0.201,0.2011,0.2004,0.2006,209469.34,42027.79
2020-06-11 09-AM,XRPUSD,0.2014,0.2014,0.2009,0.201,271129.65,54514.3
2020-06-11 08-AM,XRPUSD,0.2014,0.2015,0.2013,0.2014,59697.97,12021.84
2020-06-11 07-AM,XRPUSD,0.2016,0.2018,0.2014,0.2014,214440.57,43231.65
2020-06-11 06-AM,XRPUSD,0.2024,0.2024,0.2008,0.2016,625853.74,125959.8
2020-06-11 05-AM,XRPUSD,0.2026,0.2026,0.2023,0.2024,5948.18,1204.06
2020-06-11 04-AM,XRPUSD,0.2024,0.2027,0.2024,0.2026,23417.0,4744.49
2020-06-11 03-AM,XRPUSD,0.2028,0.2031,0.2024,0.2024,257214.37,52088.19
2020-06-11 02-AM,XRPUSD,0.203,0.2032,0.2026,0.2028,111511.5,22633.97
2020-06-11 01-AM,XRPUSD,0.2029,0.2035,0.2029,0.203,295097.09,59933.35
2020-06-11 12-AM,XRPUSD,0.2026,0.2033,0.2026,0.2029,59196.52,12019.99
2020-06-10 11-PM,XRPUSD,0.2025,0.2029,0.2025,0.2026,30198.14,6120.61
2020-06-10 10-PM,XRPUSD,0.2021,0.2027,0.2021,0.2025,54015.39,10935.98
2020-06-10 09-PM,XRPUSD,0.203,0.2031,0.2021,0.2021,126681.25,25692.21
2020-06-10 08-PM,XRPUSD,0.2024,0.2032,0.2024,0.203,201767.22,40954.18
2020-06-10 07-PM,XRPUSD,0.2016,0.2033,0.2016,0.2024,387693.38,78400.52
2020-06-10 06-PM,XRPUSD,0.2012,0.2041,0.2,0.2016,2530611.6,510678.1
2020-06-10 05-PM,XRPUSD,0.2013,0.2013,0.2009,0.2012,165089.45,33192.18
2020-06-10 04-PM,XRPUSD,0.2013,0.2015,0.2012,0.2013,66762.72,13442.59
2020-06-10 03-PM,XRPUSD,0.2014,0.2014,0.2011,0.2013,176290.15,35483.84
2020-06-10 02-PM,XRPUSD,0.2018,0.2018,0.2012,0.2014,125185.58,25219.5
2020-06-10 01-PM,XRPUSD,0.2019,0.2021,0.2015,0.2018,441914.77,89156.6
2020-06-10 12-PM,XRPUSD,0.2018,0.202,0.2015,0.2019,190271.26,38387.72
2020-06-10 11-AM,XRPUSD,0.2016,0.2018,0.2015,0.2018,34492.4,6956.48
2020-06-10 10-AM,XRPUSD,0.2014,0.2016,0.2012,0.2016,40843.68,8224.68
2020-06-10 09-AM,XRPUSD,0.2016,0.2016,0.2011,0.2014,77356.2,15565.37
2020-06-10 08-AM,XRPUSD,0.2014,0.2016,0.2012,0.2016,29903.96,6026.54
2020-06-10 07-AM,XRPUSD,0.2024,0.2025,0.2011,0.2014,304732.16,61428.11
2020-06-10 06-AM,XRPUSD,0.2028,0.2028,0.2021,0.2024,223008.81,45132.35
2020-06-10 05-AM,XRPUSD,0.2015,0.2028,0.2015,0.2028,67601.21,13677.37
2020-06-10 04-AM,XRPUSD,0.2015,0.2016,0.2014,0.2015,71350.41,14376.56
2020-06-10 03-AM,XRPUSD,0.2018,0.2018,0.2015,0.2015,23053.11,4649.76
2020-06-10 02-AM,XRPUSD,0.2021,0.2021,0.2015,0.2018,47045.29,9485.32
2020-06-10 01-AM,XRPUSD,0.2018,0.2023,0.2017,0.2021,31361.65,6336.58
2020-06-10 12-AM,XRPUSD,0.2014,0.2019,0.2012,0.2018,195552.26,39452.24
2020-06-09 11-PM,XRPUSD,0.2019,0.202,0.2014,0.2014,90926.93,18358.51
2020-06-09 10-PM,XRPUSD,0.202,0.2024,0.2008,0.2019,352484.22,71017.37
2020-06-09 09-PM,XRPUSD,0.2012,0.2021,0.2011,0.202,585673.66,117943.56
2020-06-09 08-PM,XRPUSD,0.2011,0.2016,0.2005,0.2012,543350.36,109176.35
2020-06-09 07-PM,XRPUSD,0.2016,0.2018,0.2003,0.2011,981972.23,197730.98
2020-06-09 06-PM,XRPUSD,0.2018,0.2021,0.2016,0.2016,134974.49,27251.22
2020-06-09 05-PM,XRPUSD,0.2018,0.202,0.2018,0.2018,42086.57,8496.96
2020-06-09 04-PM,XRPUSD,0.202,0.202,0.2015,0.2018,113062.74,22807.08
2020-06-09 03-PM,XRPUSD,0.2019,0.2023,0.2016,0.202,420609.45,84900.34
2020-06-09 02-PM,XRPUSD,0.2022,0.2023,0.2019,0.2019,440459.82,89012.73
2020-06-09 01-PM,XRPUSD,0.2028,0.2028,0.2018,0.2022,325662.18,65852.6
2020-06-09 12-PM,XRPUSD,0.2029,0.2033,0.2027,0.2028,631443.14,128263.36
2020-06-09 11-AM,XRPUSD,0.2019,0.2029,0.2019,0.2029,241257.98,48907.51
2020-06-09 10-AM,XRPUSD,0.2024,0.2025,0.2016,0.2019,186056.87,37583.44
2020-06-09 09-AM,XRPUSD,0.2026,0.2028,0.2023,0.2024,292072.99,59146.14
2020-06-09 08-AM,XRPUSD,0.2031,0.2031,0.2024,0.2026,126908.59,25746.88
2020-06-09 07-AM,XRPUSD,0.203,0.2032,0.2028,0.2031,78476.37,15926.46
2020-06-09 06-AM,XRPUSD,0.2031,0.2032,0.2029,0.203,111428.87,22617.35
2020-06-09 05-AM,XRPUSD,0.2035,0.2036,0.2031,0.2031,356929.04,72613.84
2020-06-09 04-AM,XRPUSD,0.2035,0.2035,0.2031,0.2035,103996.81,21158.32
2020-06-09 03-AM,XRPUSD,0.2038,0.2039,0.2034,0.2035,189802.71,38635.38
2020-06-09 02-AM,XRPUSD,0.2036,0.2041,0.2036,0.2038,89907.24,18339.47
2020-06-09 01-AM,XRPUSD,0.2033,0.2037,0.2033,0.2036,58100.45,11820.42
2020-06-09 12-AM,XRPUSD,0.2043,0.2056,0.2003,0.2033,1502657.33,304663.69
2020-06-08 11-PM,XRPUSD,0.2031,0.2045,0.2029,0.2043,858236.92,175301.7
2020-06-08 10-PM,XRPUSD,0.2028,0.2032,0.2028,0.2031,458549.93,93099.82
2020-06-08 09-PM,XRPUSD,0.2022,0.2028,0.2021,0.2028,451362.82,91345.86
2020-06-08 08-PM,XRPUSD,0.202,0.2025,0.202,0.2022,131657.34,26627.09
2020-06-08 07-PM,XRPUSD,0.2022,0.2022,0.2019,0.202,168732.16,34100.91
2020-06-08 06-PM,XRPUSD,0.2023,0.2027,0.2022,0.2022,177166.37,35862.13
2020-06-08 05-PM,XRPUSD,0.2026,0.2026,0.2021,0.2023,473885.44,95882.44
2020-06-08 04-PM,XRPUSD,0.202,0.2027,0.2019,0.2026,107927.35,21800.5
2020-06-08 03-PM,XRPUSD,0.2016,0.202,0.2015,0.202,291308.96,58739.19
2020-06-08 02-PM,XRPUSD,0.2016,0.2019,0.2014,0.2016,228430.09,46053.02
2020-06-08 01-PM,XRPUSD,0.2018,0.2025,0.2016,0.2016,486784.98,98379.23
2020-06-08 12-PM,XRPUSD,0.2029,0.2029,0.2018,0.2018,146130.98,29599.14
2020-06-08 11-AM,XRPUSD,0.2026,0.2029,0.2025,0.2029,53947.77,10930.56
2020-06-08 10-AM,XRPUSD,0.2029,0.203,0.2026,0.2026,21563.07,4373.56
2020-06-08 09-AM,XRPUSD,0.2021,0.2033,0.2021,0.2029,252009.54,51021.06
2020-06-08 08-AM,XRPUSD,0.2028,0.2028,0.2014,0.2021,336274.08,67909.41
2020-06-08 07-AM,XRPUSD,0.2029,0.2032,0.2028,0.2028,70570.36,14319.22
2020-06-08 06-AM,XRPUSD,0.2034,0.2034,0.2028,0.2029,335950.03,68232.62
2020-06-08 05-AM,XRPUSD,0.2029,0.2034,0.2028,0.2034,102726.46,20852.99
2020-06-08 04-AM,XRPUSD,0.2029,0.2031,0.2029,0.2029,68850.71,13980.26
2020-06-08 03-AM,XRPUSD,0.2029,0.203,0.2027,0.2029,218098.72,44245.76
2020-06-08 02-AM,XRPUSD,0.2031,0.2034,0.2026,0.2029,82932.34,16834.9
2020-06-08 01-AM,XRPUSD,0.2031,0.2035,0.2027,0.2031,28393.14,5761.13
2020-06-08 12-AM,XRPUSD,0.2033,0.2036,0.2026,0.2031,78239.08,15902.35
2020-06-07 11-PM,XRPUSD,0.2033,0.2037,0.2027,0.2033,259739.83,52826.61
2020-06-07 10-PM,XRPUSD,0.2027,0.2036,0.2027,0.2033,144564.92,29401.59
2020-06-07 09-PM,XRPUSD,0.2022,0.2029,0.2022,0.2027,27843.62,5643.04
2020-06-07 08-PM,XRPUSD,0.2033,0.2035,0.2022,0.2022,279537.21,56783.6
2020-06-07 07-PM,XRPUSD,0.2014,0.2036,0.2013,0.2033,1594677.75,322992.01
2020-06-07 06-PM,XRPUSD,0.2009,0.2017,0.2009,0.2014,593747.61,119597.14
2020-06-07 05-PM,XRPUSD,0.2006,0.2009,0.1996,0.2009,384927.31,77014.45
2020-06-07 04-PM,XRPUSD,0.201,0.201,0.1998,0.2006,683427.29,136826.73
2020-06-07 03-PM,XRPUSD,0.2005,0.2011,0.2003,0.201,54528.28,10951.8
2020-06-07 02-PM,XRPUSD,0.1997,0.2009,0.1986,0.2005,781505.06,156390.99
2020-06-07 01-PM,XRPUSD,0.2011,0.2014,0.1996,0.1997,458089.6,91797.3
2020-06-07 12-PM,XRPUSD,0.2018,0.2023,0.2004,0.2011,631563.33,126934.48
2020-06-07 11-AM,XRPUSD,0.2029,0.203,0.2018,0.2018,111640.79,22580.17
2020-06-07 10-AM,XRPUSD,0.2026,0.2031,0.2024,0.2029,54128.0,10968.3
